n;h=2/n;total_area;true_area;relative_error
1;2.0000000000000000e+00;2.4146581877088570000000000000000000000000000000000000000000000000;2.4140040606848196903005307892891067380626797297668046557215325479;2.7097179938120853e-04
2;1.0000000000000000e+00;2.4121876137467619250000000000000000000000000000000000000000000000;2.4140040606848196903005307892891067380626797297668046557215325479;7.5246225457568797e-04
4;5.0000000000000000e-01;2.4143228062587906687500000000000000000000000000000000000000000000;2.4140040606848196903005307892891067380626797297668046557215325479;1.3204019792765166e-04
8;2.5000000000000000e-01;2.4162993925160975937500000000000000000000000000000000000000000000;2.4140040606848196903005307892891067380626797297668046557215325479;9.5084008708201987e-04
16;1.2500000000000000e-01;2.4142573041924971046875000000000000000000000000000000000000000000;2.4140040606848196903005307892891067380626797297668046557215325479;1.0490599904192899e-04
32;6.2500000000000000e-02;2.4141228422723220672167968750000000000000000000000000000000000000;2.4140040606848196903005307892891067380626797297668046557215325479;4.9205214455472051e-05
64;3.1250000000000000e-02;2.4140594567151481809584960937500000000000000000000000000000000000;2.4140040606848196903005307892891067380626797297668046557215325479;2.2947778436120596e-05
128;1.5625000000000000e-02;2.4140279207537054555122680664062500000000000000000000000000000000;2.4140040606848196903005307892891067380626797297668046557215325479;9.8840218516436302e-06
256;7.8125000000000000e-03;2.4140193430936381860654296875000000000000000000000000000000000000;2.4140040606848196903005307892891067380626797297668046557215325479;6.3307303692605869e-06
512;3.9062500000000000e-03;2.4140113892525982556734771728515625000000000000000000000000000000;2.4140040606848196903005307892891067380626797297668046557215325479;3.0358556134683383e-06
